record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
chain_N8_r0_s9308_target-near_W0.000_seed3,chain,8,chain_N8_r0_s9308,near,6,0.0,3,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.000_seed5,chain,8,chain_N8_r0_s9308,near,6,0.0,5,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.000_seed7,chain,8,chain_N8_r0_s9308,near,6,0.0,7,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.000_seed11,chain,8,chain_N8_r0_s9308,near,6,0.0,11,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.000_seed13,chain,8,chain_N8_r0_s9308,near,6,0.0,13,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.000_seed17,chain,8,chain_N8_r0_s9308,near,6,0.0,17,0.5934969977324581,0.7463614221933463,-0.15286442446088822,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed3,chain,8,chain_N8_r0_s9308,near,6,0.6,3,0.6051464823858792,0.7463614221933463,-0.14121493980746713,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed5,chain,8,chain_N8_r0_s9308,near,6,0.6,5,0.6006677748314951,0.7463614221933463,-0.1456936473618512,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed7,chain,8,chain_N8_r0_s9308,near,6,0.6,7,0.5990907206695016,0.7463614221933463,-0.1472707015238447,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed11,chain,8,chain_N8_r0_s9308,near,6,0.6,11,0.6008762328125564,0.7463614221933463,-0.14548518938078991,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed13,chain,8,chain_N8_r0_s9308,near,6,0.6,13,0.5967278599302793,0.7463614221933463,-0.149633562263067,classical_higher
chain_N8_r0_s9308_target-near_W0.600_seed17,chain,8,chain_N8_r0_s9308,near,6,0.6,17,0.5989880654435218,0.7463614221933463,-0.14737335674982455,classical_higher
