study,x_value,topology,trap_site,n_sites,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,trap_degree,trap_closeness,mean_distance_to_trap,initial_to_trap_distance,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,n_realizations
sink_position_sweep,0,chain,0,5,intermediate,0.7305662882141628,0.04462033497008019,0.05,1.0,0.4,2.0,4.0,0.4573434374617862,1.0953071362529854,1.5157333174229115,4.2245545676682035,0.2382048900462659,32
sink_position_sweep,1,chain,1,5,intermediate,0.6841962404138497,0.02105124058886288,0.4,2.0,0.5714285714285714,1.4,3.0,0.21891579813285117,1.5591907473378366,1.596343775569847,4.879206390441544,0.2049654955956655,32
sink_position_sweep,2,chain,2,5,intermediate,0.7216804833590763,0.01057728407008544,0.8,2.0,0.6666666666666666,1.2,2.0,0.2086595103355769,1.5864126035226174,1.60217077810415,4.932502882461916,0.20273835147836206,32
sink_position_sweep,3,chain,3,5,intermediate,0.6862518510155978,0.020111011206084554,0.4,2.0,0.5714285714285714,1.4,3.0,0.21869461450088318,1.5597522477145929,1.5965191298003876,4.88087557334134,0.2048928156183335,32
sink_position_sweep,4,chain,4,5,intermediate,0.7266121881902814,0.047621853476718615,0.05,1.0,0.4,2.0,4.0,0.45827137105780985,1.0916346920367759,1.4947761135152988,4.083675903341836,0.24691725246098967,32
sink_position_sweep,0,ring,0,5,intermediate,0.709848871425228,0.017696060295439256,0.8,2.0,0.6666666666666666,1.2,2.0,0.21057514325465426,1.5812342777222603,1.5989664654955758,4.903047963630165,0.20395659622673812,32
sink_position_sweep,1,ring,1,5,intermediate,0.706528555492864,0.01644936705157672,0.8,2.0,0.6666666666666666,1.2,2.0,0.21049487915360057,1.5813977834106712,1.599139506377231,4.904980712711678,0.2038769899624355,32
sink_position_sweep,2,ring,2,5,intermediate,0.703390322888971,0.015358573927744161,0.8,2.0,0.6666666666666666,1.2,2.0,0.21048627181539786,1.5814450651712302,1.5990987953871254,4.904304522875989,0.20390463576020412,32
sink_position_sweep,3,ring,3,5,intermediate,0.7016815510021184,0.017220529859378598,0.8,2.0,0.6666666666666666,1.2,2.0,0.21083442301210914,1.580440808049845,1.5984810760121604,4.898927357731377,0.20412864089953675,32
sink_position_sweep,4,ring,4,5,intermediate,0.704141346891108,0.014064965877701495,0.8,2.0,0.6666666666666666,1.2,2.0,0.2108022230915137,1.5805557030058646,1.5985896283447005,4.899855684578179,0.20408947807828343,32
sink_position_sweep,0,complete,0,5,strongly_dissipative,0.666333325858832,0.0172472519478843,1.6,4.0,1.0,0.8,1.0,0.2105335943689235,1.5796866383714323,1.5907922361009823,4.837894082010147,0.20670616059319102,32
sink_position_sweep,1,complete,1,5,strongly_dissipative,0.6626701954265648,0.019809026922045073,1.6,4.0,1.0,0.8,1.0,0.2107806973911852,1.5788791927886783,1.5901030145214674,4.8326634956726835,0.20693145135175872,32
sink_position_sweep,2,complete,2,5,strongly_dissipative,0.6616365909376832,0.01829062014014,1.6,4.0,1.0,0.8,1.0,0.2107937896608778,1.578835579082309,1.5900627116907522,4.832367241535471,0.20694451858170912,32
sink_position_sweep,3,complete,3,5,strongly_dissipative,0.6587749526008667,0.02208344106898679,1.6,4.0,1.0,0.8,1.0,0.2108790931543596,1.5785433880447548,1.5898052644370866,4.830557224937994,0.20702397597572414,32
sink_position_sweep,4,complete,4,5,strongly_dissipative,0.6555711624829634,0.017428101093048216,1.6,4.0,1.0,0.8,1.0,0.2113107912822731,1.5771785933558435,1.5886622654855171,4.821431996777381,0.20741205173995808,32
